Clock: 38.497711088, Future Event List: [(Arrival, 38.549299293), (Departure, 39.151727847), ], Number of Departures: 67, Queue Size: 7, Server Utilization: 1.731006805
Clock: 38.549299293, Future Event List: [(Arrival, 39.053427474), (Departure, 39.151727847), ], Number of Departures: 67, Queue Size: 8, Server Utilization: 1.728690303
Clock: 39.053427474, Future Event List: [(Departure, 39.151727847), (Arrival, 39.821803226), ], Number of Departures: 67, Queue Size: 9, Server Utilization: 1.706375194
Clock: 39.151727847, Future Event List: [(Departure, 39.644583028), (Arrival, 39.821803226), ], Number of Departures: 68, Queue Size: 8, Server Utilization: 1.702090905
Clock: 39.644583028, Future Event List: [(Arrival, 39.821803226), (Departure, 40.045465894), ], Number of Departures: 69, Queue Size: 7, Server Utilization: 1.68093078
Clock: 39.821803226, Future Event List: [(Departure, 40.045465894), (Arrival, 40.104788602), ], Number of Departures: 69, Queue Size: 8, Server Utilization: 1.673450082
Clock: 40.045465894, Future Event List: [(Arrival, 40.104788602), (Departure, 41.040456156), ], Number of Departures: 70, Queue Size: 7, Server Utilization: 1.664103498
Clock: 40.104788602, Future Event List: [(Arrival, 40.330148848), (Departure, 41.040456156), ], Number of Departures: 70, Queue Size: 8, Server Utilization: 1.661641968
Clock: 40.330148848, Future Event List: [(Arrival, 40.661438491), (Departure, 41.040456156), ], Number of Departures: 70, Queue Size: 9, Server Utilization: 1.652356904
Clock: 40.661438491, Future Event List: [(Departure, 41.040456156), (Arrival, 41.114689842), ], Number of Departures: 70, Queue Size: 10, Server Utilization: 1.638894302
Clock: 41.040456156, Future Event List: [(Arrival, 41.114689842), (Departure, 41.301454164), ], Number of Departures: 71, Queue Size: 9, Server Utilization: 1.623758752
Clock: 41.114689842, Future Event List: [(Departure, 41.301454164), (Arrival, 41.85207448), ], Number of Departures: 71, Queue Size: 10, Server Utilization: 1.620827012
Clock: 41.301454164, Future Event List: [(Arrival, 41.85207448), (Departure, 41.966778875), ], Number of Departures: 72, Queue Size: 9, Server Utilization: 1.613497665
Clock: 41.85207448, Future Event List: [(Departure, 41.966778875), (Arrival, 42.361960135), ], Number of Departures: 72, Queue Size: 10, Server Utilization: 1.592269934
